"gs_name","gs_description"
"BIDUS_METASTASIS_UP","Genes up-regulated in endometroid endometrial tumors from patients with lymph node metastases compared to those without the metastases."
"BIERIE_INFLAMMATORY_RESPONSE_TGFB1","Inflammatory genes down-regulated in mammary carcinoma cells after stimulation with TGFB1 [GeneID=7040] for 1 hr."
"BILANGES_RAPAMYCIN_SENSITIVE_GENES","Genes translationally regulated in MEF cells (embryonic fibroblasts) by rapamycin (sirolimus) [PubChem=6610346] but not in response to serum deprivation."
"BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2","Genes translationally repressed by rapamycin (sirolimus) [PubChem=6610346] in MEF cells (embryonic fibroblast) lacking either TSC1 or TSC2 [GeneID=7248, 7249] but not in the wild type cells."
"BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES","Genes translationally regulated in MEF cells (embryonic fibroblasts) in response to serum starvation and by rapamycin (sirolimus) [PubChem=6610346]."
"BILANGES_SERUM_RESPONSE_TRANSLATION","Genes translationally repressed upon serum deprivation in MEF cells (embryonic fibroblast)."
"BILANGES_SERUM_SENSITIVE_GENES","Genes translationally regulated in MEF cells (embryonic fibroblasts) in response to serum starvation but not by rapamycin (sirolimus) [PubChem=6610346]."
"BILANGES_SERUM_SENSITIVE_VIA_TSC1","Genes translationally up-regulated by serum in MEF cells (embryonic fibroblast) lacking TSC1 [GeneID=7248]."
"BILANGES_SERUM_SENSITIVE_VIA_TSC2","Genes translationally up-regulated by serum in MEF cells (embryonic fibroblast) lacking TSC2 [GeneID=7249]."
"BILBAN_B_CLL_LPL_DN","Genes down-regulated in B-CLL (B-cell chronic leukemia) samples expressing high levels of LPL [GeneID=4023] compared with those expressing low levels of the gene."
"BILBAN_B_CLL_LPL_UP","Genes up-regulated in B-CLL (B-cell chronic leukemia) samples expressing high levels of LPL [GeneID=4023] compared with those expressing low levels of the gene."
"BILD_CTNNB1_ONCOGENIC_SIGNATURE","Genes selected in supervised analyses to discriminate cells expressing activated beta-catenin (CTNNB1) [GeneID=1499] oncogene from control cells expressing GFP."
"BILD_E2F3_ONCOGENIC_SIGNATURE","Genes selected in supervised analyses to discriminate cells expressing E2F3 [GeneID=1871] from control cells expressing GFP."
"BILD_HRAS_ONCOGENIC_SIGNATURE","Genes selected in supervised analyses to discriminate cells expressing activated HRAS [GeneID=3265] oncogene from control cells expressing GFP."
"BILD_MYC_ONCOGENIC_SIGNATURE","Genes selected in supervised analyses to discriminate cells expressing c-Myc [GeneID=4609] from control cells expressing GFP."
"BILD_SRC_ONCOGENIC_SIGNATURE","Genes selected in supervised analyses to discriminate cells expressing c-Src (CSK) [GeneID=1445] from control cells expressing GFP."
"BIOCARTA_41BB_PATHWAY","The 4-1BB-dependent immune response"
"BIOCARTA_ACE2_PATHWAY","Angiotensin-converting enzyme 2 regulates heart function"
"BIOCARTA_ACETAMINOPHEN_PATHWAY","Mechanism of Acetaminophen Activity and Toxicity"
"BIOCARTA_ACH_PATHWAY","Role of nicotinic acetylcholine receptors in the regulation of apoptosis"
"BIOCARTA_ACTINY_PATHWAY","Y branching of actin filaments"
"BIOCARTA_AGPCR_PATHWAY","Attenuation of GPCR Signaling"
"BIOCARTA_AGR_PATHWAY","Agrin in Postsynaptic Differentiation"
"BIOCARTA_AHSP_PATHWAY","Hemoglobin's Chaperone"
"BIOCARTA_AKAP13_PATHWAY","Rho-Selective Guanine Exchange Factor AKAP13 Mediates Stress Fiber Formation"
"BIOCARTA_AKAP95_PATHWAY","AKAP95 role in mitosis and chromosome dynamics"
"BIOCARTA_AKAPCENTROSOME_PATHWAY","Protein Kinase A at the Centrosome"
"BIOCARTA_AKT_PATHWAY","AKT Signaling Pathway"
"BIOCARTA_ALK_PATHWAY","ALK in cardiac myocytes"
"BIOCARTA_ALTERNATIVE_PATHWAY","Alternative Complement Pathway"
"BIOCARTA_AMAN_PATHWAY","Steps in the Glycosylation of Mammalian N-linked Oligosaccarides"
"BIOCARTA_AMI_PATHWAY","Acute Myocardial Infarction"
"BIOCARTA_ARAP_PATHWAY","ADP-Ribosylation Factor"
"BIOCARTA_ARENRF2_PATHWAY","Oxidative Stress Induced Gene Expression Via Nrf2"
"BIOCARTA_ARF_PATHWAY","Tumor Suppressor Arf Inhibits Ribosomal Biogenesis"
"BIOCARTA_ASBCELL_PATHWAY","Antigen Dependent B Cell Activation"
"BIOCARTA_AT1R_PATHWAY","Angiotensin II mediated activation of JNK Pathway via Pyk2 dependent signaling"
"BIOCARTA_ATM_PATHWAY","ATM Signaling Pathway"
"BIOCARTA_ATRBRCA_PATHWAY","Role of BRCA1,  BRCA2 and ATR in Cancer Susceptibility"
"BIOCARTA_BAD_PATHWAY","Regulation of BAD phosphorylation"
"BIOCARTA_BARD1_PATHWAY","BRCA1-dependent Ub-ligase activity"
"BIOCARTA_BARR_MAPK_PATHWAY","Role of b-arrestins in the activation and targeting of MAP kinases"
"BIOCARTA_BARRESTIN_PATHWAY","b-arrestins in GPCR Desensitization"
"BIOCARTA_BARRESTIN_SRC_PATHWAY","Roles of b-arrestin-dependent Recruitment of Src Kinases in GPCR Signaling"
"BIOCARTA_BBCELL_PATHWAY","Bystander B Cell Activation"
"BIOCARTA_BCELLSURVIVAL_PATHWAY","B Cell Survival Pathway"
"BIOCARTA_BCR_PATHWAY","BCR Signaling Pathway"
"BIOCARTA_BIOPEPTIDES_PATHWAY","Bioactive Peptide Induced Signaling Pathway"
"BIOCARTA_BLYMPHOCYTE_PATHWAY","B Lymphocyte Cell Surface Molecules"
"BIOCARTA_BOTULIN_PATHWAY","Blockade of Neurotransmitter Relase by Botulinum Toxin"
"BIOCARTA_BTG2_PATHWAY","BTG family proteins and cell cycle regulation"
"BIOCARTA_CACAM_PATHWAY","Ca++/ Calmodulin-dependent Protein Kinase Activation"
"BIOCARTA_CALCINEURIN_PATHWAY","Effects of calcineurin in Keratinocyte Differentiation"
"BIOCARTA_CARDIACEGF_PATHWAY","Role of EGF Receptor Transactivation by GPCRs in Cardiac Hypertrophy"
"BIOCARTA_CARM_ER_PATHWAY","CARM1 and Regulation of the Estrogen Receptor"
"BIOCARTA_CARM1_PATHWAY","Transcription Regulation by Methyltransferase of CARM1"
"BIOCARTA_CASPASE_PATHWAY","Caspase Cascade in Apoptosis"
"BIOCARTA_CB1R_PATHWAY","Metabolism of Anandamide, an Endogenous Cannabinoid"
"BIOCARTA_CBL_PATHWAY","CBL mediated ligand-induced downregulation of EGF receptors"
"BIOCARTA_CCR3_PATHWAY","CCR3 signaling in Eosinophils"
"BIOCARTA_CCR5_PATHWAY","Pertussis toxin-insensitive CCR5 Signaling in Macrophage"
"BIOCARTA_CD40_PATHWAY","CD40L Signaling Pathway"
"BIOCARTA_CDC25_PATHWAY","cdc25 and chk1 Regulatory Pathway in response to DNA damage"
"BIOCARTA_CDC42RAC_PATHWAY","Role of PI3K subunit p85 in regulation of Actin Organization and Cell Migration"
"BIOCARTA_CDK5_PATHWAY","Phosphorylation of MEK1 by cdk5/p35 down regulates the MAP kinase pathway"
"BIOCARTA_CDMAC_PATHWAY","Cadmium induces DNA synthesis and proliferation in macrophages"
"BIOCARTA_CELL2CELL_PATHWAY","Cell to Cell Adhesion Signaling"
"BIOCARTA_CELLCYCLE_PATHWAY","Cyclins and Cell Cycle Regulation"
"BIOCARTA_CERAMIDE_PATHWAY","Ceramide Signaling Pathway"
"BIOCARTA_CFTR_PATHWAY","Cystic fibrosis transmembrane conductance regulator (CFTR) and beta 2 adrenergic receptor (b2AR) pathway"
"BIOCARTA_CHEMICAL_PATHWAY","Apoptotic Signaling in Response to DNA Damage"
"BIOCARTA_CHREBP_PATHWAY","ChREBP regulation by carbohydrates and cAMP"
"BIOCARTA_CIRCADIAN_PATHWAY","Circadian Rhythms"
"BIOCARTA_CK1_PATHWAY","Regulation of ck1/cdk5 by type 1 glutamate receptors"
"BIOCARTA_CLASSIC_PATHWAY","Classical Complement Pathway"
"BIOCARTA_COMP_PATHWAY","Complement Pathway"
"BIOCARTA_CPSF_PATHWAY","Polyadenylation of mRNA"
"BIOCARTA_CREB_PATHWAY","Transcription factor CREB and its extracellular signals"
"BIOCARTA_CREM_PATHWAY","Regulation of Spermatogenesis by CREM"
"BIOCARTA_CSK_PATHWAY","Activation of Csk by cAMP-dependent Protein Kinase Inhibits Signaling through the T Cell Receptor"
"BIOCARTA_CTBP1_PATHWAY","SUMOylation as a mechanism to modulate CtBP-dependent gene responses"
"BIOCARTA_CTCF_PATHWAY","CTCF: First Multivalent Nuclear Factor"
"BIOCARTA_CTL_PATHWAY","CTL mediated immune response against target cells"
"BIOCARTA_CTLA4_PATHWAY","The Co-Stimulatory Signal During T-cell Activation"
"BIOCARTA_CXCR4_PATHWAY","CXCR4 Signaling Pathway"
"BIOCARTA_CYTOKINE_PATHWAY","Cytokine Network"
"BIOCARTA_D4GDI_PATHWAY","D4-GDI Signaling Pathway"
"BIOCARTA_DC_PATHWAY","Dendritic cells in regulating TH1 and TH2 Development"
"BIOCARTA_DEATH_PATHWAY","Induction of apoptosis through DR3 and DR4/5 Death Receptors"
"BIOCARTA_DICER_PATHWAY","Dicer Pathway"
"BIOCARTA_DNAFRAGMENT_PATHWAY","Apoptotic DNA fragmentation and tissue homeostasis"
"BIOCARTA_DREAM_PATHWAY","Repression of Pain Sensation by the Transcriptional Regulator DREAM"
"BIOCARTA_DSP_PATHWAY","Regulation of MAP Kinase Pathways Through Dual Specificity Phosphatases"
"BIOCARTA_ECM_PATHWAY","Erk and PI-3 Kinase Are Necessary for Collagen Binding in Corneal Epithelia"
"BIOCARTA_EDG1_PATHWAY","Phospholipids as signalling intermediaries"
"BIOCARTA_EEA1_PATHWAY","The role of FYVE-finger proteins in vesicle transport"
"BIOCARTA_EFP_PATHWAY","Estrogen-responsive protein Efp controls cell cycle and breast tumors growth"
"BIOCARTA_EGF_PATHWAY","EGF Signaling Pathway"
"BIOCARTA_EGFR_SMRTE_PATHWAY","Map Kinase Inactivation of SMRT Corepressor"
"BIOCARTA_EICOSANOID_PATHWAY","Eicosanoid Metabolism"
"BIOCARTA_EIF_PATHWAY","Eukaryotic protein translation"
"BIOCARTA_EIF2_PATHWAY","Regulation of eIF2"
"BIOCARTA_EIF4_PATHWAY","Regulation of eIF4e and p70 S6 Kinase"
"BIOCARTA_EOSINOPHILS_PATHWAY","The Role of Eosinophils in the Chemokine Network of Allergy"
"BIOCARTA_EPHA4_PATHWAY","Eph Kinases and ephrins support platelet aggregation"
"BIOCARTA_EPO_PATHWAY","EPO Signaling Pathway"
"BIOCARTA_EPONFKB_PATHWAY","Erythropoietin mediated neuroprotection through NF-kB"
"BIOCARTA_ERAD_PATHWAY","ERbassociated degradation (ERAD) Pathway"
"BIOCARTA_ERBB3_PATHWAY","Neuroregulin receptor degredation protein-1 Controls ErbB3 receptor recycling"
"BIOCARTA_ERBB4_PATHWAY","g-Secretase mediated ErbB4 Signaling Pathway"
"BIOCARTA_ERK_PATHWAY","Erk1/Erk2 Mapk Signaling pathway"
"BIOCARTA_ERK5_PATHWAY","Role of Erk5 in Neuronal Survival"
"BIOCARTA_ERYTH_PATHWAY","Erythrocyte Differentiation Pathway"
"BIOCARTA_ETC_PATHWAY","Electron Transport Reaction in Mitochondria"
"BIOCARTA_ETS_PATHWAY","METS affect on Macrophage Differentiation"
"BIOCARTA_EXTRINSIC_PATHWAY","Extrinsic Prothrombin Activation Pathway"
"BIOCARTA_FAS_PATHWAY","FAS signaling pathway ( CD95 )"
"BIOCARTA_FBW7_PATHWAY","Cyclin E Destruction Pathway"
"BIOCARTA_FCER1_PATHWAY","Fc Epsilon Receptor I Signaling in Mast Cells"
"BIOCARTA_FEEDER_PATHWAY","Feeder Pathways for Glycolysis"
"BIOCARTA_FIBRINOLYSIS_PATHWAY","Fibrinolysis Pathway"
"BIOCARTA_FLUMAZENIL_PATHWAY","Cardiac Protection Against ROS"
"BIOCARTA_FMLP_PATHWAY","fMLP induced chemokine gene expression in HMC-1 cells"
"BIOCARTA_FOSB_PATHWAY","FOSB gene expression and drug abuse"
"BIOCARTA_FREE_PATHWAY","Free Radical Induced Apoptosis"
"BIOCARTA_FXR_PATHWAY","FXR and LXR Regulation of Cholesterol Metabolism"
"BIOCARTA_G1_PATHWAY","Cell Cycle: G1/S Check Point"
"BIOCARTA_G2_PATHWAY","Cell Cycle: G2/M Checkpoint"
"BIOCARTA_GABA_PATHWAY","Gamma-aminobutyric Acid Receptor Life Cycle"
"BIOCARTA_GATA3_PATHWAY","GATA3 participate in activating the Th2 cytokine genes expression"
"BIOCARTA_GCR_PATHWAY","Corticosteroids and cardioprotection"
"BIOCARTA_GH_PATHWAY","Growth Hormone Signaling Pathway"
"BIOCARTA_GHRELIN_PATHWAY","Ghrelin: Regulation of Food Intake and Energy Homeostasis"
"BIOCARTA_GLEEVEC_PATHWAY","Inhibition of Cellular Proliferation by Gleevec"
"BIOCARTA_GPCR_PATHWAY","Signaling Pathway from G-Protein Families"
"BIOCARTA_GRANULOCYTES_PATHWAY","Adhesion and Diapedesis of Granulocytes"
"BIOCARTA_GSK3_PATHWAY","Inactivation of Gsk3 by AKT causes accumulation of b-catenin in Alveolar Macrophages"
"BIOCARTA_HBX_PATHWAY","Calcium Signaling by HBx of Hepatitis B virus"
"BIOCARTA_HCMV_PATHWAY","Human Cytomegalovirus and Map Kinase Pathways"
"BIOCARTA_HDAC_PATHWAY","Control of skeletal myogenesis by HDAC & calcium/calmodulin-dependent kinase (CaMK)"
"BIOCARTA_HER2_PATHWAY","Role of ERBB2 in Signal Transduction and Oncology"
"BIOCARTA_HES_PATHWAY","Segmentation Clock"
"BIOCARTA_HIF_PATHWAY","Hypoxia-Inducible Factor in the Cardiovascular System"
"BIOCARTA_HIVNEF_PATHWAY","HIV-I Nef: negative effector of Fas and TNF"
"BIOCARTA_HSP27_PATHWAY","Stress Induction of HSP Regulation"
"BIOCARTA_HSWI_SNF_PATHWAY","Chromatin Remodeling by hSWI/SNF ATP-dependent Complexes"
"BIOCARTA_IFNA_PATHWAY","IFN alpha signaling pathway"
"BIOCARTA_IFNG_PATHWAY","IFN gamma signaling pathway"
"BIOCARTA_IGF1_PATHWAY","IGF-1 Signaling Pathway"
"BIOCARTA_IGF1MTOR_PATHWAY","Skeletal muscle hypertrophy is regulated via AKT/mTOR pathway"
"BIOCARTA_IGF1R_PATHWAY","Multiple antiapoptotic pathways from IGF-1R signaling lead to BAD phosphorylation"
"BIOCARTA_IL10_PATHWAY","IL-10 Anti-inflammatory Signaling Pathway"
"BIOCARTA_IL12_PATHWAY","IL12 and Stat4 Dependent Signaling Pathway in Th1 Development"
"BIOCARTA_IL17_PATHWAY","IL 17 Signaling Pathway"
"BIOCARTA_IL1R_PATHWAY","Signal transduction through IL1R"
"BIOCARTA_IL2_PATHWAY","IL 2 signaling pathway"
"BIOCARTA_IL22BP_PATHWAY","IL22 Soluble Receptor Signaling Pathway"
"BIOCARTA_IL2RB_PATHWAY","IL-2 Receptor Beta Chain in T cell Activation"
"BIOCARTA_IL3_PATHWAY","IL 3 signaling pathway"
"BIOCARTA_IL4_PATHWAY","IL 4 signaling pathway"
"BIOCARTA_IL5_PATHWAY","IL 5 Signaling Pathway"
"BIOCARTA_IL6_PATHWAY","IL 6 signaling pathway"
"BIOCARTA_IL7_PATHWAY","IL-7 Signal Transduction"
"BIOCARTA_INFLAM_PATHWAY","Cytokines and Inflammatory Response"
"BIOCARTA_INSULIN_PATHWAY","Insulin Signaling Pathway"
"BIOCARTA_INTEGRIN_PATHWAY","Integrin Signaling Pathway"
"BIOCARTA_INTRINSIC_PATHWAY","Intrinsic Prothrombin Activation Pathway"
"BIOCARTA_ION_PATHWAY","Ion Channel and Phorbal Esters Signaling Pathway"
"BIOCARTA_IRES_PATHWAY","Internal Ribosome entry pathway"
"BIOCARTA_KERATINOCYTE_PATHWAY","Keratinocyte Differentiation"
"BIOCARTA_KREB_PATHWAY","The Citric Acid Cycle"
"BIOCARTA_LAIR_PATHWAY","Cells and Molecules involved in local acute inflammatory response"
"BIOCARTA_LDL_PATHWAY","Low-density lipoprotein (LDL) pathway during atherogenesis"
"BIOCARTA_LECTIN_PATHWAY","Lectin Induced Complement Pathway"
"BIOCARTA_LEPTIN_PATHWAY","Reversal of Insulin Resistance by Leptin"
"BIOCARTA_LIS1_PATHWAY","Lissencephaly gene (LIS1) in neuronal migration and development"
"BIOCARTA_LONGEVITY_PATHWAY","The IGF-1 Receptor and Longevity"
"BIOCARTA_LYM_PATHWAY","Adhesion and Diapedesis of Lymphocytes"
"BIOCARTA_LYMPHOCYTE_PATHWAY","Adhesion Molecules on Lymphocyte"
"BIOCARTA_MAL_PATHWAY","Role of MAL in Rho-Mediated Activation of SRF"
"BIOCARTA_MALATEX_PATHWAY","Shuttle for transfer of acetyl groups from mitochondria to the cytosol"
"BIOCARTA_MAPK_PATHWAY","MAPKinase Signaling Pathway"
"BIOCARTA_MCALPAIN_PATHWAY","mCalpain and friends in Cell motility"
"BIOCARTA_MCM_PATHWAY","CDK Regulation of DNA Replication"
"BIOCARTA_MEF2D_PATHWAY","Role of MEF2D in T-cell Apoptosis"
"BIOCARTA_MELANOCYTE_PATHWAY","Melanocyte Development and Pigmentation Pathway"
"BIOCARTA_MET_PATHWAY","Signaling of Hepatocyte Growth Factor Receptor"
"BIOCARTA_MHC_PATHWAY","Antigen Processing and Presentation"
"BIOCARTA_MITOCHONDRIA_PATHWAY","Role of Mitochondria in Apoptotic Signaling"
"BIOCARTA_MITR_PATHWAY","Signal Dependent Regulation of Myogenesis by Corepressor MITR"
"BIOCARTA_MONOCYTE_PATHWAY","Monocyte and its Surface Molecules"
"BIOCARTA_MPR_PATHWAY","How Progesterone Initiates the Oocyte Maturation"
"BIOCARTA_MRP_PATHWAY","Multi-Drug Resistance Factors"
"BIOCARTA_MSP_PATHWAY","Msp/Ron Receptor Signaling Pathway"
"BIOCARTA_MTA3_PATHWAY","Downregulated of MTA-3 in ER-negative Breast Tumors"
"BIOCARTA_MTOR_PATHWAY","mTOR Signaling Pathway"
"BIOCARTA_MYOSIN_PATHWAY","PKC-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase"
"BIOCARTA_NDKDYNAMIN_PATHWAY","Endocytotic role of NDK, Phosphins and Dynamin"
"BIOCARTA_NEUTROPHIL_PATHWAY","Neutrophil and Its Surface Molecules"
"BIOCARTA_NFAT_PATHWAY","NFAT and Hypertrophy of the heart (Transcription in the broken heart)"
"BIOCARTA_NFKB_PATHWAY","NF-kB Signaling Pathway"
"BIOCARTA_NGF_PATHWAY","Nerve growth factor pathway (NGF)"
"BIOCARTA_NKCELLS_PATHWAY","Ras-Independent pathway in NK cell-mediated cytotoxicity"
"BIOCARTA_NKT_PATHWAY","Selective expression of chemokine receptors during T-cell polarization"
"BIOCARTA_NO1_PATHWAY","Actions of Nitric Oxide in the Heart"
"BIOCARTA_NO2IL12_PATHWAY","NO2-dependent IL 12 Pathway in NK cells"
"BIOCARTA_NOS1_PATHWAY","Nitric Oxide Signaling Pathway"
"BIOCARTA_NOTCH_PATHWAY","Proteolysis and Signaling Pathway of Notch"
"BIOCARTA_NPC_PATHWAY","Mechanism of Protein Import into the Nucleus"
"BIOCARTA_NPP1_PATHWAY","Regulators of Bone Mineralization"
"BIOCARTA_NTHI_PATHWAY","NFkB activation by Nontypeable Hemophilus influenzae"
"BIOCARTA_NUCLEARRS_PATHWAY","Nuclear Receptors in Lipid Metabolism and Toxicity"
"BIOCARTA_P27_PATHWAY","Regulation of p27 Phosphorylation during Cell Cycle Progression"
"BIOCARTA_P35ALZHEIMERS_PATHWAY","Deregulation of CDK5 in Alzheimers Disease"
"BIOCARTA_P38MAPK_PATHWAY","p38 MAPK Signaling Pathway"
"BIOCARTA_P53_PATHWAY","p53 Signaling Pathway"
"BIOCARTA_P53HYPOXIA_PATHWAY","Hypoxia and p53 in the Cardiovascular system"
"BIOCARTA_PAR1_PATHWAY","Thrombin signaling and protease-activated receptors"
"BIOCARTA_PARKIN_PATHWAY","Role of Parkin in the Ubiquitin-Proteasomal Pathway"
"BIOCARTA_PCAF_PATHWAY","The information-processing pathway at the IFN-beta enhancer"
"BIOCARTA_PDGF_PATHWAY","PDGF Signaling Pathway"
"BIOCARTA_PDZS_PATHWAY","Synaptic Proteins at the Synaptic Junction"
"BIOCARTA_PELP1_PATHWAY","Pelp1 Modulation of Estrogen Receptor Activity"
"BIOCARTA_PEPI_PATHWAY","Proepithelin Conversion to Epithelin and Wound Repair Control"
"BIOCARTA_PGC1A_PATHWAY","Regulation of PGC-1a"
"BIOCARTA_PITX2_PATHWAY","Multi-step Regulation of Transcription by Pitx2"
"BIOCARTA_PKC_PATHWAY","Activation of PKC through G protein coupled receptor"
